Date,HomeTeam,AwayTeam,FTHG,FTAG,HomeOdds,DrawOdds,AwayOdds
2025-08-29,Valencia,Getafe,3,0,2.45,3.15,3.75
2025-08-29,Elche,Levante,2,0,2.21,3.33,3.75
2025-08-27,Celta Vigo,Betis,1,1,2.40,3.52,3.17
2025-08-25,Sevilla,Getafe,1,2,2.25,3.20,4.60
2025-08-25,Ath Bilbao,Rayo Vallecano,1,0,1.80,3.65,5.87
2025-08-24,Oviedo,Real Madrid,0,3,10.00,5.82,1.36
2025-08-24,Real Sociedad,Espanyol,2,2,2.00,3.65,4.72
2025-08-24,Villarreal,Girona,5,0,1.51,4.85,7.40
2025-08-24,Osasuna,Valencia,1,0,2.35,3.37,3.67
2025-08-23,Levante,Barcelona,2,3,13.50,7.57,1.24
2025-08-23,Atl. Madrid,Elche,1,1,1.30,6.40,12.00
2025-08-23,Mallorca,Celta Vigo,1,1,3.46,3.37,2.50
2025-08-22,Betis,Alaves,1,0,2.00,3.55,4.77
2025-08-19,Real Madrid,Osasuna,1,0,1.24,7.30,12.50
2025-08-18,Elche,Betis,1,1,3.45,3.35,2.40
2025-08-17,Espanyol,Atl. Madrid,2,1,6.07,4.00,1.66
2025-08-17,Ath Bilbao,Sevilla,3,2,1.70,4.00,6.93
2025-08-17,Celta Vigo,Getafe,0,2,1.74,3.60,6.50
2025-08-16,Alaves,Levante,2,1,2.15,3.25,4.18
2025-08-16,Valencia,Real Sociedad,1,1,2.53,3.10,3.34
2025-08-16,Mallorca,Barcelona,0,3,10.00,6.00,1.38
2025-08-15,Villarreal,Oviedo,2,0,1.48,4.93,8.83
2025-08-15,Girona,Rayo Vallecano,1,3,2.52,3.33,3.24
